integrator,dt,steps,relative_error,observed_order,wall_seconds
ssprk3,0.040000000000000001,10,2.2203533602070393e-10,,0.0018479659999999999
ssprk3,0.02,20,2.7701476232907537e-11,3.0027545281348793,0.0034345040000000001
ssprk3,0.01,40,3.4610101112770309e-12,3.0006977992189223,0.0073203670000000004
ssprk3,0.0050000000000000001,80,4.3470837942958004e-13,2.9930733459604633,0.012144746999999999
rk4,0.040000000000000001,10,2.1327736102692494e-13,,0.0018680929999999999
rk4,0.02,20,1.3512214086710806e-14,3.9803948380404663,0.0037414969999999999
rk4,0.01,40,7.0620642638248756e-16,4.258030331695557,0.0083137309999999996
rk4,0.0050000000000000001,80,1.5451031372878298e-16,2.1923868067043046,0.015293924
